Control vs. Low dose						
WB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chrIV:6900313:6906348:T22D1.8:WBGene00020686	1179,743946	0,813327167	0,170823663	4,761209032	1,92437E-06	0,000531001
chrV:2192496:2196827:nhr-13:WBGene00003612	552,9625295	0,427215877	0,089925251	4,750788828	2,02625E-06	0,000543311
chrII:1609251:1610729:fbxa-163:WBGene00015598	36,17115566	2,132060954	0,448939852	4,749101564	2,04322E-06	0,000543311
chrI:2307266:2308980:Y39G10AR.9:WBGene00021467	903,7208854	0,449817168	0,094757594	4,747030257	2,06425E-06	0,000543311
chrX:5519954:5522819:mboa-3:WBGene00016934	1273,453885	0,506137575	0,106776965	4,740138243	2,13572E-06	0,00054709
chrV:17660302:17661810:dgat-2:WBGene00010296	629,1707953	0,760009017	0,160356703	4,739490179	2,14257E-06	0,00054709
chrIII:9434056:9435100:cpar-1:WBGene00010036	150,2855249	0,758468454	0,160844973	4,715524753	2,41089E-06	0,000606551
chrV:9087292:9087820:hsp-16.11:WBGene00002017	1608,881269	1,338283576	0,284100151	4,710604948	2,46983E-06	0,000607663
chrV:9087292:9087782:hsp-16.1:WBGene00002015	1605,096575	1,339287258	0,28439525	4,70924622	2,48635E-06	0,000607663
chrIII:3725074:3726500:C14B1.9:WBGene00007580	370,4296851	0,895403863	0,190533534	4,699455497	2,60856E-06	0,000628553
chrIV:6421584:6423496:puf-11:WBGene00022257	939,1949463	0,877893914	0,187621678	4,679064387	2,88187E-06	0,000684764
chrX:1459021:1462797:D1005.2:WBGene00016996	1836,546859	0,316271219	0,067645636	4,675411995	2,93364E-06	0,000687517
chrII:2705920:2707991:Y47G7B.2:WBGene00021654	38,25488748	1,040296914	0,222911282	4,666865243	3,0583E-06	0,000707045
chrV:5085703:5086969:Y58A7A.5:WBGene00021979	275,9453714	1,335788207	0,286727995	4,658729627	3,18167E-06	0,00072576
chrII:3109365:3111247:Y25C1A.13:WBGene00021296	1846,721314	0,691009366	0,14851192	4,652888226	3,27318E-06	0,000736809
chrIII:4937321:4939453:fsn-1:WBGene00001499	2612,117734	0,4246896	0,092114772	4,610439683	4,01818E-06	0,000880962
chrX:12283280:12285316:C04B4.2:WBGene00007290	274,0061385	0,970359768	0,210478892	4,610247413	4,0219E-06	0,000880962
chrIII:6192115:6194580:ugt-66:WBGene00016013	107,4110755	-0,922657796	0,200234965	-4,607875544	4,06804E-06	0,000880962
chrII:846863:848603:acdh-9:WBGene00017874	3175,144469	0,419567508	0,091272178	4,596882856	4,28859E-06	0,000917114
chrII:9788796:9793284:cyp-13A3:WBGene00011675	106,5222958	-0,984165097	0,214862489	-4,580441661	4,63995E-06	0,000980003
chrII:8817592:8818426:F46C5.10:WBGene00009785	43,51786384	1,130912137	0,247328012	4,572519416	4,81895E-06	0,000995256
chrV:5583160:5584343:pas-6:WBGene00003927	2033,215606	0,656060745	0,143492092	4,572103856	4,82851E-06	0,000995256
chrV:12265706:12269549:twk-24:WBGene00006677	115,4842043	-0,818361629	0,179114348	-4,568933975	4,90211E-06	0,000998397
chrII:13610442:13611366:gst-24:WBGene00001772	253,976948	1,348821181	0,297767178	4,529784611	5,90438E-06	0,001188379
chrIV:10728033:10729573:ZC168.2:WBGene00013856	601,1538046	0,553912058	0,122504064	4,521581072	6,13794E-06	0,001220249
chrV:8029438:8031214:oma-2:WBGene00003865	1343,267783	0,845835769	0,187187885	4,518645909	6,22364E-06	0,001220249
chrII:8575540:8577732:puf-5:WBGene00004241	1228,234626	0,808580222	0,179014284	4,516847494	6,27671E-06	0,001220249
chrII:2919709:2920904:Y110A2AR.1:WBGene00022452	913,4908725	0,831309164	0,184243215	4,512020501	6,4213E-06	0,001234332
chrV:765031:772585:str-238:WBGene00006266	20,98231352	-0,885158158	0,19636384	-4,507745202	6,55202E-06	0,001245466
chrV:3936325:3938584:cyp-35A5:WBGene00019473	288,0474471	0,656379202	0,145751437	4,503414965	6,68701E-06	0,001257158
chrV:1449664:1450189:cnc-2:WBGene00000556	32,1480278	2,034644171	0,453509435	4,486442866	7,24221E-06	0,001346737
chrIV:9587094:9588834:trcs-1:WBGene00009186	3703,473044	0,759286949	0,169467214	4,480435668	7,44908E-06	0,001370311
chrIII:11033171:11036080:Y48A6B.9:WBGene00012970	355,6683542	0,406291287	0,090834834	4,47285771	7,71811E-06	0,001404697
chrIV:8449352:8451771:eppl-1:WBGene00020139	1663,602486	-1,248136501	0,279444231	-4,46649586	7,95112E-06	0,001424057
chrV:6057365:6063430:Y38A10A.2:WBGene00021389	769,1494341	-0,748938868	0,167766226	-4,464181406	8,03754E-06	0,001424057
chrX:1011500:1012347:rncs-1:WBGene00023069	4949,019155	1,365681992	0,305986717	4,463206783	8,07421E-06	0,001424057
chrII:4938579:4941150:cblc-1:WBGene00022766	1013,489983	0,603012898	0,135491561	4,450556883	8,56479E-06	0,001495168
chrIII:2224671:2227198:fbxa-38:WBGene00016522	50,0476167	0,718279223	0,161604835	4,444664181	8,80293E-06	0,001511493
chrIV:9371507:9373636:fbxc-58:WBGene00007506	78,8406502	1,637177509	0,368411564	4,443881976	8,83501E-06	0,001511493
chrI:7532046:7536120:C26C6.4:WBGene00007739	79,27262805	-0,506611428	0,114057027	-4,441737971	8,92352E-06	0,00151152
chrV:12659703:12660330:his-74:WBGene00012276	1367,917275	0,876280348	0,197920724	4,427431002	9,53621E-06	0,001599465
chrX:1504130:1504841:tts-1:WBGene00006650	642,9482602	1,650358353	0,37340929	4,419703515	9,88364E-06	0,001641644
chrV:6662183:6665813:pmp-5:WBGene00004062	1258,055787	1,097443883	0,248586106	4,414743447	1,0113E-05	0,001663586
chrIII:7793445:7795409:cyk-7:WBGene00015591	496,7845358	0,750477881	0,170358478	4,405286358	1,05644E-05	0,001721297
chrIV:4155105:4157185:K08D10.14:WBGene00219216	55,94620014	-0,736685842	0,16736555	-4,401657575	1,07427E-05	0,001733831
chrII:11052140:11055323:F45E10.2:WBGene00009729	569,1298244	0,49081287	0,11206654	4,379655791	1,18867E-05	0,001900538
chrX:7630545:7630635:F26A10.28:WBGene00219915	76,15817039	-1,258726273	0,287549131	-4,377430277	1,20087E-05	0,001902263
chrV:18953117:18957317:Y80D3A.9:WBGene00013587	265,5121323	0,480476413	0,109820976	4,375087815	1,21384E-05	0,001905166
chrV:7455814:7457597:F25E5.2:WBGene00017783	367,4675612	-0,546601392	0,125010643	-4,372438853	1,22866E-05	0,001905297
chrIII:6902960:6905282:T07E3.3:WBGene00020314	377,030416	0,521874445	0,119432091	4,369633345	1,24455E-05	0,001905297
chrX:13105240:13108543:F17H10.1:WBGene00008925	1057,470727	0,334781312	0,076653872	4,367441619	1,2571E-05	0,001905297
chrII:13482404:13485780:E01G4.6:WBGene00008448	102,8801853	-0,763696552	0,174870791	-4,367204756	1,25847E-05	0,001905297
chrIII:453572:463811:Y55B1BR.6:WBGene00044401	784,3282657	-0,431183658	0,098815936	-4,363503265	1,27996E-05	0,001920839
chrIII:7102084:7103990:cpg-2:WBGene00015102	518,8138455	0,882434592	0,202340554	4,361135584	1,29389E-05	0,001924861
chrIII:900137:901412:sucl-2:WBGene00017759	3138,957259	0,606613919	0,139591196	4,345645969	1,38866E-05	0,002043158
chrIV:9439069:9441107:idh-1:WBGene00010317	15553,75034	0,381050727	0,087713093	4,344285582	1,3973E-05	0,002043158
chrII:8249762:8251980:F35C11.4:WBGene00009403	408,2317356	-0,296861217	0,068455146	-4,336580034	1,44717E-05	0,002094822
chrV:14421565:14422618:pas-1:WBGene00003922	1713,55414	0,497751246	0,114819579	4,335072912	1,45712E-05	0,002094822
chrIV:8334288:8334862:his-32:WBGene00001906	644,5542798	0,682633235	0,157851471	4,324528807	1,52858E-05	0,002179249
chrII:1108840:1110992:lips-11:WBGene00020472	137,9252264	-1,278316542	0,295815459	-4,321331094	1,55091E-05	0,002192804
chrV:3641857:3644243:F59B1.8:WBGene00019100	367,5149201	0,511789819	0,118500696	4,318876066	1,56826E-05	0,002196075
chrIII:13486514:13492477:twk-40:WBGene00006691	158,1717358	-0,582769155	0,135066565	-4,314681099	1,59833E-05	0,002196075
chrV:7154502:7156224:F10D2.10:WBGene00017335	358,4242882	0,75374096	0,174716506	4,314079868	1,60269E-05	0,002196075
chrV:18638483:18639591:col-42:WBGene00013489	811,0027324	2,084872945	0,483300734	4,313821187	1,60457E-05	0,002196075
chrII:5453846:5455977:dhs-5:WBGene00000969	2374,322781	0,272869189	0,06336477	4,306323371	1,6599E-05	0,00225378
chrIV:7710974:7714198:nhr-8:WBGene00003607	790,302899	-0,695129621	0,161933972	-4,292673187	1,76535E-05	0,002378076
chrI:12551531:12552375:W02D9.10:WBGene00012216	421,1812119	0,702509914	0,163833391	4,287953202	1,80327E-05	0,002410184
chrIII:10746580:10747728:ran-1:WBGene00004302	21185,14032	0,563655388	0,131568472	4,284122032	1,83462E-05	0,002433079
chrII:8807132:8808582:F07H5.10:WBGene00008561	323,1154591	0,528316009	0,123418264	4,280695525	1,8631E-05	0,002451841
chrI:14838916:14839138:F32A7.8:WBGene00044245	95,66573444	1,66157295	0,388528378	4,276580667	1,89786E-05	0,002478516
chrIV:7634785:7635712:arf-1.1:WBGene00000190	37,49710879	2,235254325	0,52313204	4,272830096	1,93008E-05	0,002493905
chrX:12350577:12351788:F42F12.3:WBGene00009635	535,4851205	0,620475668	0,14524838	4,271825045	1,9388E-05	0,002493905
chrIII:8243121:8244092:pbs-6:WBGene00003952	2706,774492	0,648537927	0,151881427	4,270027892	1,95449E-05	0,002495323
chrI:12095480:12097987:Y47H10A.5:WBGene00012961	157,4329955	1,728891528	0,405306273	4,265642162	1,99328E-05	0,002526003
chrII:10391153:10393614:T09F3.2:WBGene00011662	1474,958736	0,416106514	0,097636924	4,261774112	2,0281E-05	0,00253398
chrI:9533420:9536740:C41G7.7:WBGene00008064	352,0763014	-0,474334275	0,111302871	-4,261653547	2,0292E-05	0,00253398
chrV:16103893:16105978:argk-1:WBGene00009706	63,27794568	0,578201313	0,136303629	4,242009676	2,21527E-05	0,002746294
chrX:17092717:17094223:sod-3:WBGene00004932	31,24994984	1,051637501	0,248019228	4,240145051	2,23375E-05	0,002749285
chrV:6821808:6826872:T15B7.8:WBGene00020520	70,74696815	-0,998101767	0,235662123	-4,235308382	2,28238E-05	0,002789072
chrV:15005095:15006400:hrde-2:WBGene00011324	701,8831024	0,56800081	0,134311587	4,228978461	2,34755E-05	0,002848358
chrV:16745079:16746258:gyg-2:WBGene00012020	2042,488506	0,725045739	0,171590971	4,225430587	2,38484E-05	0,002871321
chrX:6058254:6060242:gln-1:WBGene00001602	1969,553845	0,563663083	0,133501323	4,222153527	2,41979E-05	0,002871321
chrV:12552212:12553301:F45D3.4:WBGene00009724	136,564931	0,843995979	0,199908065	4,221920613	2,42229E-05	0,002871321
chrV:15926424:15928425:pzf-1:WBGene00011505	120,3633639	0,864869829	0,20490319	4,22087049	2,43361E-05	0,002871321
chrV:1804333:1804971:hsp-16.2:WBGene00002016	482,2716447	1,265862245	0,300261772	4,215862175	2,48826E-05	0,002903443
chrI:9469579:9470633:skr-2:WBGene00004808	3027,10593	0,79005771	0,187469829	4,214319251	2,50533E-05	0,002903443
chrV:13737052:13738474:irg-5:WBGene00009429	43,1509193	1,755858505	0,416698192	4,2137416	2,51175E-05	0,002903443
chrIV:3748209:3751101:ugt-45:WBGene00021372	634,5220643	0,421656127	0,100454514	4,197483133	2,69898E-05	0,003083351
chrV:7151352:7153146:fat-7:WBGene00001399	8,031657563	1,914438444	0,456132567	4,197109751	2,70343E-05	0,003083351
chrV:4164553:4166824:Y45G5AM.3:WBGene00021556	658,2528145	0,861482596	0,20558167	4,190464037	2,78385E-05	0,003154041
chrII:11237446:11238919:rpn-9:WBGene00004465	5453,358361	0,464916879	0,111066056	4,185949288	2,83977E-05	0,003172527
chrIII:5785116:5785225:mir-4938:WBGene00219266	83,4420295	0,820884714	0,1962131	4,183638685	2,8688E-05	0,003172527
chrI:10726087:10727386:B0205.14:WBGene00044646	15,61458099	2,169365469	0,518564544	4,183404926	2,87175E-05	0,003172527
chrX:1654436:1654625:ZK380.6:WBGene00304812	2278,996513	1,164153168	0,278333425	4,182584851	2,88213E-05	0,003172527
chrX:8232241:8236314:M60.4:WBGene00019780	2337,863066	1,022988861	0,244632413	4,181738833	2,89288E-05	0,003172527
chrIV:10274035:10275409:Y43C5A.3:WBGene00012783	49,38715896	2,235503593	0,535663955	4,173332125	3,00177E-05	0,003270972
chrX:12298682:12300022:W06D11.3:WBGene00012301	154,3725177	0,868863649	0,208381221	4,169587087	3,05152E-05	0,003304139
chrX:14250511:14252146:E02H4.6:WBGene00008464	325,0591601	0,73807577	0,177301378	4,162831552	3,14325E-05	0,003366662
chrV:10499354:10501395:C35A5.3:WBGene00007947	203,3477676	0,682027614	0,163852758	4,162442073	3,14862E-05	0,003366662
chrV:2068431:2069147:lbp-9:WBGene00021486	1961,564565	0,894683546	0,215441907	4,152783269	3,28456E-05	0,0034902
chrV:5460105:5461446:ZC317.2:WBGene00022588	55,73655123	1,1160115	0,2690259	4,148342223	3,34892E-05	0,003515769
chrII:10857436:10860909:M106.3:WBGene00010911	1784,575542	0,338955565	0,081709765	4,148287122	3,34972E-05	0,003515769
chrIV:17111080:17116657:cyn-13:WBGene00000889	6306,262484	0,491967403	0,11876016	4,142528984	3,43497E-05	0,003578462
chrI:5269544:5270945:B0261.7:WBGene00015095	1123,907655	0,596623745	0,144061827	4,141442302	3,45129E-05	0,003578462
chrII:3345217:3346378:bath-30:WBGene00017460	426,652066	0,683429029	0,165179013	4,137505232	3,51102E-05	0,00361847
chrII:14276620:14283979:Y54G11A.3:WBGene00013214	757,8464754	0,548177125	0,132623975	4,133318477	3,57563E-05	0,003629878
chrIV:9658052:9663993:acc-1:WBGene00010275	281,1779614	-0,404860385	0,097980454	-4,132052533	3,59538E-05	0,003629878
chrII:11993000:11998013:dhps-1:WBGene00012460	795,6234879	0,550630768	0,133297033	4,130855398	3,61416E-05	0,003629878
chrI:7398710:7401023:C15A11.4:WBGene00007598	2004,62986	-0,759895773	0,184040671	-4,128955684	3,64415E-05	0,003629878
chrII:3000767:3002411:lido-9:WBGene00016576	4877,835761	0,545733785	0,132175865	4,128845964	3,64589E-05	0,003629878
chrI:9517025:9518736:mina-1:WBGene00008061	313,6464657	0,618736696	0,149865093	4,128624518	3,6494E-05	0,003629878
chrI:5571794:5572949:cey-3:WBGene00000474	4877,748147	1,020947469	0,247831039	4,119530276	3,79646E-05	0,003747298
chrII:4954479:4955427:pbs-3:WBGene00003949	2765,998131	0,621169798	0,150819391	4,11863352	3,81126E-05	0,003747298
chrX:6716194:6718695:smf-2:WBGene00004877	26,43556206	-0,897391703	0,218076542	-4,115030866	3,87128E-05	0,003765913
chrX:5368467:5373958:jkk-1:WBGene00002177	369,458777	-0,460801753	0,111999323	-4,114326252	3,88312E-05	0,003765913
chrV:15066297:15067352:otub-1:WBGene00007718	2123,96077	0,428127935	0,104077517	4,113548705	3,89623E-05	0,003765913
chrIV:10699315:10706114:R102.6:WBGene00011293	68,70703356	0,756779446	0,184252405	4,107297513	4,00315E-05	0,0038456
chrIV:6419499:6420898:htp-2:WBGene00002033	558,9165752	0,744553784	0,18132788	4,106118619	4,02363E-05	0,0038456
chrV:8641444:8643193:asp-13:WBGene00017881	760,7001695	1,094735382	0,266743875	4,104069427	4,05946E-05	0,003856068
chrII:13820209:13820620:his-13:WBGene00001887	96,52265581	0,797804798	0,194447988	4,102921324	4,07966E-05	0,003856068
chrIV:12893748:12896329:K08D8.12:WBGene00194926	16,43081217	1,931728222	0,471401946	4,097836753	4,17029E-05	0,003883714
chrIII:5946214:5948733:F25B5.6:WBGene00017777	3262,367835	0,357046267	0,087130786	4,097819874	4,1706E-05	0,003883714
chrII:9375106:9375848:C06C3.12:WBGene00175031	39,85308652	-0,758388871	0,185106644	-4,09703754	4,18471E-05	0,003883714
chrV:20554115:20555267:Y38H6C.21:WBGene00012633	6,122385788	2,847003741	0,695033862	4,096208682	4,19971E-05	0,003883714
chrV:9097225:9098696:F21C10.9:WBGene00017658	194,5112187	0,791009196	0,193251314	4,093163343	4,25528E-05	0,00391394
chrV:18993939:18998200:gtf-2F2:WBGene00012694	2553,270448	0,377638044	0,092331712	4,090014537	4,31346E-05	0,003946241
chrX:7889722:7892396:C39D10.5:WBGene00016532	251,4685156	-0,442020508	0,108265011	-4,082764189	4,45032E-05	0,004049789
chrI:3608517:3611909:inx-22:WBGene00002144	523,5863904	0,557132845	0,136581185	4,079133192	4,52039E-05	0,004091793
chrIV:9526365:9528350:elo-1:WBGene00001239	1603,770807	0,482734093	0,118380021	4,077834162	4,54572E-05	0,004093059
chrX:16891981:16893148:F39F10.3:WBGene00018203	190,7051455	0,729294525	0,178928697	4,075894672	4,58378E-05	0,00410572
chrIII:6177915:6178686:F42A10.7:WBGene00018343	457,7015446	1,247219064	0,306261099	4,07240446	4,65303E-05	0,004118611
chrX:15604634:15606635:rab-14:WBGene00004276	4975,748723	0,534241511	0,131269932	4,069793447	4,70548E-05	0,004118611
chrIV:11738988:11740304:K01A6.4:WBGene00010446	32,61541541	1,748488876	0,429642997	4,069631968	4,70875E-05	0,004118611
chrIV:13315643:13318811:fat-1:WBGene00001393	3526,243575	0,474419127	0,116602556	4,068685468	4,72791E-05	0,004118611
chrI:3682857:3684086:rab-8:WBGene00004272	3463,061203	0,451560037	0,111003961	4,067963296	4,74258E-05	0,004118611
chrIV:11401883:11403338:memi-3:WBGene00010353	246,3160022	0,809463463	0,199047352	4,066687928	4,7686E-05	0,004118611
chrV:5029318:5030815:swt-7:WBGene00019645	1237,464843	0,698022438	0,171684794	4,065720793	4,78842E-05	0,004118611
chrV:10320710:10322304:B0024.13:WBGene00007102	306,6445195	0,454444546	0,111777787	4,065606919	4,79076E-05	0,004118611
chrIII:5784355:5790652:Y37B11A.3:WBGene00021345	681,0223206	0,597461874	0,147140277	4,060491712	4,89695E-05	0,004157023
chrX:16159647:16163548:F09C8.1:WBGene00008621	103,5545048	0,710605151	0,175025406	4,060011439	4,90703E-05	0,004157023
chrX:7258115:7260377:lact-1:WBGene00018523	125,1263629	-0,821323289	0,202298907	-4,059949215	4,90834E-05	0,004157023
chrII:4171265:4173875:R03H10.6:WBGene00019858	95,01305008	1,244791935	0,30675791	4,057896779	4,95166E-05	0,004173058
chrII:607406:607773:linc-52:WBGene00219742	59,15107781	-0,860061823	0,21213504	-4,054312877	5,02819E-05	0,004216777
chrII:7196275:7197495:maoc-1:WBGene00017123	2568,052271	0,400451476	0,098809837	4,05274908	5,06193E-05	0,004221302
chrI:14719166:14720477:pbs-5:WBGene00003951	6578,267313	0,643651463	0,158856448	4,051780539	5,08293E-05	0,004221302
chrIV:1244246:1245344:F38A1.9:WBGene00009522	68,26859396	-0,674175754	0,166584522	-4,047049191	5,18673E-05	0,004280641
