Term	log_OR	p_val	neg_log_P	find_alpha	find_size	Lineage
G-protein coupled receptor activity (GO:0004930)	1,578790547	4,497E-17	37,64053533	1	37,64053533	L2
olfactory receptor activity (GO:0004984)	1,314585169	1,16134E-22	50,5072989	1	50,5072989	C2
olfactory receptor activity (GO:0004984)	1,40124055	2,32204E-16	35,99891588	1	35,99891588	H1
olfactory receptor activity (GO:0004984)	1,42750584	7,67336E-19	41,71136267	1	41,71136267	C1
olfactory receptor activity (GO:0004984)	1,470792404	4,56869E-18	39,92730579	1	39,92730579	L1
olfactory receptor activity (GO:0004984)	1,579946015	4,15076E-20	44,62841071	1	44,62841071	L2
integral component of plasma membrane (GO:0005887)	1,315006188	3,49512E-24	54,01067568	1	54,01067568	C2
integral component of plasma membrane (GO:0005887)	1,403559164	6,02252E-24	53,46653571	1	53,46653571	H1
integral component of plasma membrane (GO:0005887)	1,416747325	2,56923E-18	40,50292351	1	40,50292351	H2
integral component of plasma membrane (GO:0005887)	1,4285993	2,61784E-22	49,69452069	1	49,69452069	C1
integral component of plasma membrane (GO:0005887)	1,472639356	1,62824E-23	52,47195659	1	52,47195659	L1
integral component of plasma membrane (GO:0005887)	1,58226582	3,56284E-26	58,59665489	1	58,59665489	L2
sensory perception of chemical stimulus (GO:0007606)	1,316271953	9,52807E-29	64,52072539	1	64,52072539	C2
sensory perception of chemical stimulus (GO:0007606)	1,401497512	3,32919E-17	37,94121729	1	37,94121729	H1
sensory perception of chemical stimulus (GO:0007606)	1,429695738	8,95175E-26	57,67536361	1	57,67536361	C1
sensory perception of chemical stimulus (GO:0007606)	1,473873839	3,80835E-27	60,83260101	1	60,83260101	L1
sensory perception of chemical stimulus (GO:0007606)	1,583818944	3,213E-30	67,91034697	1	67,91034697	L2
detection of chemical stimulus involved in sensory perception (GO:0050907)	1,316271953	9,52807E-29	64,52072539	1	64,52072539	C2
detection of chemical stimulus involved in sensory perception (GO:0050907)	1,401497512	3,32919E-17	37,94121729	1	37,94121729	H1
detection of chemical stimulus involved in sensory perception (GO:0050907)	1,429695738	8,95175E-26	57,67536361	1	57,67536361	C1
detection of chemical stimulus involved in sensory perception (GO:0050907)	1,473873839	3,80835E-27	60,83260101	1	60,83260101	L1
detection of chemical stimulus involved in sensory perception (GO:0050907)	1,583818944	3,213E-30	67,91034697	1	67,91034697	L2
membrane raft (GO:0045121)	1,414093267	9,99495E-10	20,72377097	1	20,72377097	H2
Ribosome biogenesis in eukaryotes	1,311650578	5,38774E-12	25,94689561	1	25,94689561	C2
Ribosome biogenesis in eukaryotes	1,399958206	3,88265E-12	26,27450368	1	26,27450368	H1
RNA binding (GO:0003723)	1,414887644	2,61075E-12	26,67138207	1	26,67138207	H2
nuclear lumen (GO:0031981)	1,415152786	3,60838E-13	28,65034833	1	28,65034833	H2
